what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460518630421
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1460518633218
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1460518634296
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460518635468
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460518637750
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1460518664953
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460518666312
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460518669921
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1460518676781
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460518678062
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460518702015
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460521407421
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460525960328
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1460525967656
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1460525970687
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460525980562
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460525999312
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1460526018812
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460526020093
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460526048000
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1460526061625
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460526064031
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460526068281
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1460526073250
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460526074390
