what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463969994859
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463969994875
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463969994937
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463970002328
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1463970004468
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463970009718
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463970010843
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463970011421
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463970018000
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463970019312
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463970020671
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1463970020671
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463970022265
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463970022437
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1463970022437
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463970043218
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1463970166156
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463970196734
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463970199984
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463970200703
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463970249093
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463970258609
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1463970259312
started,bundle,org.eclipse.jdt.debug.ui,3.4.0.v20090527,"org.eclipse.jdt.debug.ui",1463970260015
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1463970260500
