what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462355128250
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1462355128265
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462355131140
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462355132093
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1462355132125
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462355153171
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462355154421
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1462355154453
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1462355164796
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.refresh",1462355169812
activated,editor,org.eclipse.jst.jsp.ui,1.1.400.v200904292008,"org.eclipse.jst.jsp.core.jspsource.source",1462355171656
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462355171843
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462355173046
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.cut",1462355175500
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462355175843
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462355176875
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1462355176890
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1462355177781
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462355178265
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462355179500
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1462355179531
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1462355187125
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1462355190859
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1462355191234
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1462355278765
