what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jst.jsp.ui,1.1.400.v200904292008,"org.eclipse.jst.jsp.core.jspsource.source",1462355638750
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1462355642515
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462355661375
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462355661390
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462355661437
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462355679359
activated,editor,org.eclipse.jst.jsp.ui,1.1.400.v200904292008,"org.eclipse.jst.jsp.core.jspsource.source",1462355679968
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.smartEnter",1462355692750
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1462355693828
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462355695031
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462355695031
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462355695125
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462355698843
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462355702843
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462355702859
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462355702937
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462355718968
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1462355719000
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.refresh",1462355721656
activated,editor,org.eclipse.jst.jsp.ui,1.1.400.v200904292008,"org.eclipse.jst.jsp.core.jspsource.source",1462355723296
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462355725796
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1462355727078
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1462355730437
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1462355731031
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.refresh",1462355732828
