what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.sse.core,1.1.400.v200905141750,"org.eclipse.wst.sse.core",1462780978734
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1462780978750
started,bundle,org.eclipse.wst.web,1.1.300.v200901261500,"org.eclipse.wst.web",1462780978765
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1462780978781
started,bundle,org.eclipse.wst.xml.core,1.1.400.v200904300540,"org.eclipse.wst.xml.core",1462780978859
started,bundle,org.tigris.subversion.subclipse.core,1.0.6,"org.tigris.subversion.subclipse.core",1462780978890
started,bundle,org.tigris.subversion.subclipse.ui,1.0.5,"org.tigris.subversion.subclipse.ui",1462780979031
os,sysinfo,,,"win32",1462780979031
arch,sysinfo,,,"x86",1462780979031
ws,sysinfo,,,"win32",1462780979031
locale,sysinfo,,,"zh_CN",1462780979031
processors,sysinfo,,,"2",1462780979031
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1462780979031
java.runtime.version,sysinfo,,,"1.6.0_02-b06",1462780979031
java.specification.name,sysinfo,,,"Java Platform API Specification",1462780979031
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1462780979031
java.specification.version,sysinfo,,,"1.6",1462780979031
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1462780979031
java.version,sysinfo,,,"1.6.0_02",1462780979031
java.vm.info,sysinfo,,,"mixed mode",1462780979031
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1462780979031
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1462780979031
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1462780979031
java.vm.specification.version,sysinfo,,,"1.0",1462780979031
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1462780979031
