what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1461119405375
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1461119405593
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1461119405796
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1461119411812
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1461119413750
closed,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1461119413750
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1461119414703
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1461119416125
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1461119419687
closed,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1461119419687
activated,editor,org.eclipse.jst.jsp.ui,1.1.400.v200904292008,"org.eclipse.jst.jsp.core.jspsource.source",1461119423703
activated,editor,org.eclipse.jst.jsp.ui,1.1.400.v200904292008,"org.eclipse.jst.jsp.core.jspsource.source",1461119427546
activated,editor,org.eclipse.jst.jsp.ui,1.1.400.v200904292008,"org.eclipse.jst.jsp.core.jspsource.source",1461119429468
activated,editor,org.eclipse.jst.jsp.ui,1.1.400.v200904292008,"org.eclipse.jst.jsp.core.jspsource.source",1461119433328
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1461119434687
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1461119458468
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1461119502421
activated,editor,org.eclipse.jst.jsp.ui,1.1.400.v200904292008,"org.eclipse.jst.jsp.core.jspsource.source",1461119502937
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1461119504250
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1461119581375
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1461119655250
activated,editor,org.eclipse.jst.jsp.ui,1.1.400.v200904292008,"org.eclipse.jst.jsp.core.jspsource.source",1461119657656
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1461119664671
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1461119664671
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1461119664765
