what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463986355656
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463986359000
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463986360265
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463986363187
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463986363656
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463986364875
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463986372390
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1463986375359
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463986378156
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463986378156
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463986378281
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463986378921
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463986380421
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463986381000
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463986381531
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463986384359
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1463986397734
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1463986399406
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463986419093
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463986423234
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463986425859
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463986426015
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463986433046
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463986433125
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1463986433843
