what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460538460750
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460538491062
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460538491718
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460538527250
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460538528484
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460538528890
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460538528906
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460538529015
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460538529906
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1460538531031
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460538532812
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460538535156
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.properties",1460538535171
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460538537203
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460538539453
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460538576890
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460538578343
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460538617062
started,bundle,org.eclipse.wst.validation.ui,1.2.104.v200904232035,"org.eclipse.wst.validation.ui",1460538630421
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460538634000
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.properties",1460538634031
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460538634718
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460538636812
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460538636953
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1460538637734
