what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460518910640
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460518912515
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.cut",1460518915437
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1460518915828
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460518916187
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460518917937
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1460518919437
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1460518924859
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460518925828
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460518925828
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460518925890
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460518927312
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.cut",1460518929484
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1460518929796
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460518930171
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460518933953
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460518940281
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460518940296
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460518940390
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460518942062
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.cut",1460518946656
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1460518948718
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1460518953093
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1460518953375
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460518954093
